"OTU","Day","test","day","l2fc.threshold","log2FoldChange","p","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","sparsity.threshold","p.adj"
"OTU.1716",2,"greater",2,0.25,-2.09877919749091,0.996345573204731,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","JG34-KF-361","uncultured_bacterium",NA,NA,"0.3",1
"OTU.1968",2,"greater",2,0.25,-1.22416217016301,0.958789643060485,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Hymenobacter",NA,NA,"0.3",1
"OTU.4339",2,"greater",2,0.25,-2.26113918890523,0.998975992893105,"Bacteria","Armatimonadetes","uncultured_soil_bacterium",NA,NA,NA,NA,NA,"0.3",1
"OTU.88",2,"greater",2,0.25,2.17432716306156,0.00689735800613717,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XVIII_Incertae_Sedis","Symbiobacterium",NA,NA,"0.3",0.160817131144891
"OTU.80",2,"greater",2,0.25,-1.15497975447667,0.999992051296667,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,NA,"0.3",1
"OTU.81",2,"greater",2,0.25,-0.917512809709058,0.943947484990195,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae",NA,NA,NA,"0.3",1
"OTU.86",2,"greater",2,0.25,-1.1238801405593,0.973439749588769,"Bacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","uncultured",NA,NA,NA,"0.3",1
"OTU.87",2,"greater",2,0.25,-2.12957334644156,0.996644594270386,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA,NA,"0.3",1
"OTU.85",2,"greater",2,0.25,-0.387237348035388,0.9159741148682,"Bacteria","Actinobacteria","Frankiales","uncultured","uncultured_actinobacterium",NA,NA,NA,"0.3",1
"OTU.4062",2,"greater",2,0.25,1.08746687676181,0.156841546896801,"Bacteria","Acidobacteria","Candidatus_Chloracidobacterium","uncultured_bacterium",NA,NA,NA,NA,"0.3",0.925122279644451
"OTU.3334",2,"greater",2,0.25,-0.585930550098497,0.89224090481914,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,NA,"0.3",1
"OTU.1798",2,"greater",2,0.25,-0.401875094287524,0.845993002610877,"Bacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Modestobacter","uncultured_bacterium",NA,NA,"0.3",1
"OTU.1551",2,"greater",2,0.25,-1.003562061871,0.978547387769707,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Undibacterium",NA,NA,"0.3",1
"OTU.3209",2,"greater",2,0.25,-1.23361852808926,0.967700813698994,"Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","uncultured_bacterium",NA,"0.3",1
"OTU.3539",2,"greater",2,0.25,0.0615855333336484,0.592009744366105,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales",NA,NA,NA,NA,"0.3",1
"OTU.838",2,"greater",2,0.25,0.727835291284814,0.29171854116831,"Bacteria","Planctomycetes","Phycisphaerae","WD2101_soil_group","uncultured_bacterium",NA,NA,NA,"0.3",1
"OTU.529",2,"greater",2,0.25,-1.63164045151682,0.99786746856752,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter",NA,NA,"0.3",1
"OTU.298",2,"greater",2,0.25,-0.13311789442781,0.672177239202825,"Bacteria","Acidobacteria","Order_Incertae_Sedis","Family_Incertae_Sedis","Bryobacter","uncultured_bacterium",NA,NA,"0.3",1
"OTU.295",2,"greater",2,0.25,-0.188687293599856,0.717232408394298,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Craurococcus","uncultured_bacterium",NA,"0.3",1
"OTU.290",2,"greater",2,0.25,1.91073197317952,0.026918542951959,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","uncultured","uncultured_bacterium",NA,"0.3",0.386317467770006
"OTU.630",2,"greater",2,0.25,1.19178583395397,0.139766627089677,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Adhaeribacter","uncultured_Hymenobacter_group_bacterium",NA,"0.3",0.871454173833793
"OTU.632",2,"greater",2,0.25,0.0383311015492275,0.596062323823795,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae",NA,NA,NA,"0.3",1
"OTU.643",2,"greater",2,0.25,0.820266674218379,0.19556177374515,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA,NA,"0.3",1
"OTU.645",2,"greater",2,0.25,0.241534481325503,0.503941617078419,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA,NA,NA,"0.3",1
"OTU.744",2,"greater",2,0.25,0.629351202385052,0.317974141375099,"Bacteria","Verrucomicrobia","OPB35_soil_group","uncultured_bacterium",NA,NA,NA,NA,"0.3",1
"OTU.746",2,"greater",2,0.25,-0.734211086587413,0.890116317165446,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","0319-6M6","uncultured_bacterium",NA,NA,"0.3",1
"OTU.395",2,"greater",2,0.25,-0.340775265505352,0.753884767221156,"Bacteria","Chloroflexi","JG30-KF-CM66","uncultured_bacterium",NA,NA,NA,NA,"0.3",1
"OTU.3153",2,"greater",2,0.25,-0.917515258239648,0.913767425254377,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","uncultured","uncultured_bacterium",NA,"0.3",1
